0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/img/3.png HTTP/1.1" 200 434066
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/img/4.png HTTP/1.1" 200 355776
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:36 +0900] "GET /Daknawa/resources/img/ad.png HTTP/1.1" 200 232354
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:41 +0900] "GET /Daknawa/list.mn?mno=1 HTTP/1.1" 200 25519
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:41 +0900] "GET /Daknawa/resources/css/styles_detail.css HTTP/1.1" 200 247605
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:41 +0900] "GET /Daknawa/js/scripts.js HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:41 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:41 +0900] "GET /Daknawa/resources/menu_upfiles/menu1.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:41 +0900] "GET /Daknawa/resources/menu_upfiles/menu3.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:41 +0900] "GET /Daknawa/resources/menu_upfiles/menu2.png HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:46 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:46 +0900] "GET /Daknawa/ HTTP/1.1" 200 23439
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:46 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:46 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:46 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:48 +0900] "GET /Daknawa/plist.bo?currentPage=1 HTTP/1.1" 200 27399
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:48 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:50 +0900] "GET /Daknawa/nDetail.no?pno=33 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:50 +0900] "GET /Daknawa/rdetail.bo?pno=33 HTTP/1.1" 200 28988
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:50 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:50 +0900] "GET /Daknawa/resources/css/blog-post1.css HTTP/1.1" 200 14323
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:50 +0900] "GET /Daknawa/resources/css/public/playground_assets/divideri110-1dmc-200h.png HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:50 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:50 +0900] "GET /Daknawa/relist.po?pno=33 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:51 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 13017088
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:52 +0900] "POST /Daknawa/reinsert.po HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:53 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 12877824
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:54 +0900] "GET /Daknawa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:54 +0900] "GET /Daknawa/ HTTP/1.1" 200 23439
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:54 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:54 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:32:54 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:06 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 8028160
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:06 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 7970816
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:14 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 9101312
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:16 +0900] "GET /Daknawa/resources/video/123.mp4 HTTP/1.1" 206 11051008
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:22 +0900] "GET /Daknawa/review.bo?currentPage=1 HTTP/1.1" 200 8205
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:23 +0900] "GET /Daknawa/ HTTP/1.1" 200 23439
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:23 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:23 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:23 +0900] "GET /Daknawa/aaa HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:24 +0900] "GET /Daknawa/list.st?currentPage=1 HTTP/1.1" 200 68693
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:24 +0900] "GET /Daknawa/resources/css/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:24 +0900] "GET /Daknawa/resources/css/layout155.css HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:24 +0900] "GET /Daknawa/resources/css/career17.css HTTP/1.1" 200 6772
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:24 +0900] "GET /Daknawa/resources/css/public/playground_assets/iconpini146-ify4.svg HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:24 +0900] "GET /Daknawa/style.css HTTP/1.1" 404 3238
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:24 +0900] "GET /Daknawa/resources/css/public/playground_assets/iconclocki146-fjhq.svg HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [27/May/2023:01:33:43 +0900] "GET /Daknawa/resources/video/456.mp4 HTTP/1.1" 206 3768320
